date,amount,ref_id,description
2026-10-08,9832.00,REF707040,Refund
2026-10-18,13280.00,REF526117,Refund
2026-10-06,12982.00,REF632342,Coffee subscription
2026-10-08,8243.00,REF922733,BrewBox Connoisseur
2026-10-08,14512.00,REF205907,BrewBox Connoisseur
2026-10-15,8978.00,REF226882,BrewBox Premium
2026-10-07,9246.29,REF630458,BrewBox Starter
2026-10-19,1923.00,REF542417,Coffee subscription
2026-10-21,12096.00,REF161733,BrewBox Premium
2026-10-24,3146.00,REF913694,Unknown Pos Debit
2026-10-13,1539.00,REF500156,Refund
2026-10-05,4156.00,REF872246,Coffee subscription
2026-10-21,3003.00,REF267753,BrewBox Connoisseur
2026-10-28,4377.00,REF270395,BrewBox Premium
2026-10-09,9329.00,REF883300,Refund
2026-10-19,4269.00,REF330914,Coffee subscription
2026-10-04,9284.00,REF496922,Coffee subscription
2026-10-30,3879.32,REF665492,BrewBox Premium
2026-10-07,2034.00,REF343962,Refund
2026-10-13,9967.27,REF479580,BrewBox Premium
2026-10-12,6564.00,REF319684,BrewBox Starter
2026-10-13,1492.00,REF863587,BrewBox Starter
2026-10-22,3940.00,REF361650,Coffee subscription
2026-10-09,3204.00,REF653306,Refund
2026-10-23,7429.00,REF865990,Refund
2026-10-26,10520.00,REF785743,Refund
2026-10-09,4398.00,REF801474,BrewBox Connoisseur
2026-10-15,4110.00,REF717889,BrewBox Starter
2026-10-07,3035.00,REF411120,BrewBox Premium
2026-10-08,1448.00,REF694916,Coffee subscription
2026-10-18,933.00,REF308496,Refund
2026-10-08,11333.00,REF910620,BrewBox Starter
2026-10-30,1942.82,REF890170,BrewBox Premium
2026-10-22,1612.00,REF346629,BrewBox Connoisseur
2026-10-11,557.00,REF908577,BrewBox Premium
2026-10-16,12490.00,REF955662,Coffee subscription
2026-10-09,4409.00,REF515011,BrewBox Premium
2026-10-12,3003.00,REF899550,BrewBox Premium
2026-10-16,7157.00,REF604740,BrewBox Premium
2026-10-17,14293.88,REF265080,Coffee subscription
2026-10-30,4844.00,REF922157,BrewBox Connoisseur
2026-10-27,5302.00,REF759176,Refund
2026-10-29,11668.00,REF663054,BrewBox Starter
2026-10-12,5549.00,REF934794,Coffee subscription
2026-10-05,14886.00,REF377312,Coffee subscription
2026-10-09,2839.00,REF246413,BrewBox Premium
2026-10-22,7036.00,REF781446,BrewBox Starter
2026-10-06,5168.00,REF559469,Refund
2026-10-05,9333.00,REF858490,Refund
2026-10-16,5809.00,REF120422,Coffee subscription
2026-10-07,4572.00,REF299448,Refund
2026-10-05,5051.00,REF325772,BrewBox Starter
2026-10-18,12662.00,REF262998,BrewBox Starter
2026-10-11,1548.00,REF122056,Refund
2026-10-04,10908.30,REF126225,BrewBox Starter
2026-10-02,2103.00,REF783823,Refund
2026-10-27,14895.00,REF945964,BrewBox Starter
2026-10-21,10479.00,REF279451,Refund
2026-10-09,8503.00,REF987204,Coffee subscription
2026-10-31,552.00,REF857168,BrewBox Starter
2026-10-05,13046.00,REF234628,BrewBox Connoisseur
2026-10-24,9988.00,REF668532,Coffee subscription
2026-10-16,8847.00,REF195325,Coffee subscription
2026-10-09,10390.00,REF946335,Coffee subscription
2026-10-07,10408.00,REF852470,BrewBox Starter
2026-10-21,3982.00,REF623481,BrewBox Connoisseur
2026-10-03,4729.80,REF321231,Refund
2026-10-21,7927.00,REF974628,BrewBox Starter
2026-10-26,12931.00,REF267414,BrewBox Connoisseur
2026-10-07,9844.71,REF838797,Coffee subscription
2026-10-22,13642.00,REF870763,BrewBox Premium
2026-10-28,1811.00,REF294851,Coffee subscription
2026-10-26,3107.00,REF835343,Coffee subscription
2026-10-10,2326.00,REF555884,BrewBox Premium
2026-10-28,1013.00,REF446479,Coffee subscription
2026-10-14,7438.00,REF589710,Coffee subscription
2026-10-21,11608.78,REF994343,BrewBox Starter
2026-10-28,4591.00,REF179046,BrewBox Connoisseur
2026-10-27,11441.00,REF681542,BrewBox Starter
2026-10-05,9551.00,REF550664,BrewBox Premium
2026-10-03,10646.00,REF539589,Refund
2026-10-29,6141.33,REF172132,BrewBox Premium
2026-10-21,14288.00,REF632323,Refund
2026-10-15,3122.02,REF497887,BrewBox Starter
2026-10-30,13256.00,REF656116,Coffee subscription
2026-10-22,4097.00,REF440035,Coffee subscription
2026-10-06,1459.00,REF497382,Coffee subscription
2026-10-01,9688.00,REF217308,Coffee subscription
2026-10-04,3475.22,REF201639,BrewBox Connoisseur
2026-10-02,1435.00,REF712554,BrewBox Connoisseur
2026-10-02,9437.00,REF975136,BrewBox Starter
