date,amount,settlement_id,payment_id,description
2026-10-27,5302.00,REF759176,pay_REF759176,Refund
2026-10-09,4409.00,REF515011,pay_REF515011,BrewBox Premium
2026-10-05,13046.00,REF234628,pay_REF234628,BrewBox Connoisseur
2026-10-15,3176.00,REF497887,pay_REF497887,BrewBox Starter
2026-10-12,6564.00,REF319684,pay_REF319684,BrewBox Starter
2026-10-14,7438.00,REF589710,pay_REF589710,Coffee subscription
2026-10-05,9284.00,REF496922,pay_REF496922,Coffee subscription
2026-10-15,8978.00,REF226882,pay_REF226882,BrewBox Premium
2026-10-09,8503.00,REF987204,pay_REF987204,Coffee subscription
2026-10-09,2839.00,REF246413,pay_REF246413,BrewBox Premium
2026-10-02,2103.00,REF783823,pay_REF783823,Refund
2026-10-06,12982.00,REF632342,pay_REF632342,Coffee subscription
2026-10-22,4097.00,REF440035,pay_REF440035,Coffee subscription
2026-10-16,7157.00,REF604740,pay_REF604740,BrewBox Premium
2026-10-30,4844.00,REF922157,pay_REF922157,BrewBox Connoisseur
2026-10-26,10520.00,REF785743,pay_REF785743,Refund
2026-10-11,9064.00,REF373432,pay_REF373432,BrewBox Premium
2026-10-02,13963.00,REF944151,pay_REF944151,BrewBox Starter
2026-10-05,4156.00,REF872246,pay_REF872246,Coffee subscription
2026-10-16,5809.00,REF120422,pay_REF120422,Coffee subscription
2026-10-06,905.00,REF872343,pay_REF872343,BrewBox Starter
2026-10-09,9329.00,REF883300,pay_REF883300,Refund
2026-10-06,5168.00,REF559469,pay_REF559469,Refund
2026-10-08,9832.00,REF707040,pay_REF707040,Refund
2026-10-16,12490.00,REF955662,pay_REF955662,Coffee subscription
2026-10-28,4591.00,REF179046,pay_REF179046,BrewBox Connoisseur
2026-10-15,4110.00,REF717889,pay_REF717889,BrewBox Starter
2026-10-30,2027.00,REF890170,pay_REF890170,BrewBox Premium
2026-10-17,14469.00,REF265080,pay_REF265080,Coffee subscription
2026-10-08,14512.00,REF205907,pay_REF205907,BrewBox Connoisseur
2026-10-22,10479.00,REF279451,pay_REF279451,Refund
2026-10-31,552.00,REF857168,pay_REF857168,BrewBox Starter
2026-10-21,12096.00,REF161733,pay_REF161733,BrewBox Premium
2026-10-08,8243.00,REF922733,pay_REF922733,BrewBox Connoisseur
2026-10-27,14895.00,REF945964,pay_REF945964,BrewBox Starter
2026-10-03,4885.00,REF321231,pay_REF321231,Refund
2026-10-22,3940.00,REF361650,pay_REF361650,Coffee subscription
2026-10-05,9551.00,REF550664,pay_REF550664,BrewBox Premium
2026-10-01,9688.00,REF217308,pay_REF217308,Coffee subscription
2026-10-07,2034.00,REF343962,pay_REF343962,Refund
2026-10-07,9307.00,REF630458,pay_REF630458,BrewBox Starter
2026-10-28,1013.00,REF446479,pay_REF446479,Coffee subscription
2026-10-22,7036.00,REF781446,pay_REF781446,BrewBox Starter
